PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms);
3.142290;0.000697;0.000222;1600000;1;61;
3.140503;-0.001090;0.000347;1600000;1;60;
3.142138;0.000545;0.000173;1600000;1;65;
3.141563;-0.000030;0.000010;1600000;1;61;
3.139308;-0.002285;0.000727;1600000;1;67;
3.141130;-0.000463;0.000147;1600000;2;148;
3.142235;0.000642;0.000204;1600000;2;145;
3.142990;0.001397;0.000445;1600000;2;157;
3.141538;-0.000055;0.000018;1600000;2;157;
3.140900;-0.000693;0.000220;1600000;2;147;
3.140493;-0.001100;0.000350;1600000;4;195;
3.139448;-0.002145;0.000683;1600000;4;192;
3.138780;-0.002813;0.000895;1600000;4;174;
3.141438;-0.000155;0.000049;1600000;4;144;
3.140388;-0.001205;0.000384;1600000;4;214;
3.139155;-0.002438;0.000776;1600000;8;321;
3.142643;0.001050;0.000334;1600000;8;224;
3.141773;0.000180;0.000057;1600000;8;223;
3.140283;-0.001310;0.000417;1600000;8;260;
3.140273;-0.001320;0.000420;1600000;8;333;
3.142168;0.000575;0.000183;1600000;16;312;
3.143315;0.001722;0.000548;1600000;16;210;
3.140880;-0.000713;0.000227;1600000;16;281;
3.140823;-0.000770;0.000245;1600000;16;287;
3.139473;-0.002120;0.000675;1600000;16;330;
3.141870;0.000277;0.000088;1600000;32;355;
3.143135;0.001542;0.000491;1600000;32;259;
3.141610;0.000017;0.000006;1600000;32;370;
3.138560;-0.003033;0.000965;1600000;32;320;
3.142413;0.000820;0.000261;1600000;32;267;
3.138330;-0.003263;0.001039;1600000;64;356;
3.143343;0.001750;0.000557;1600000;64;291;
3.140630;-0.000963;0.000306;1600000;64;405;
3.142790;0.001197;0.000381;1600000;64;323;
3.140600;-0.000993;0.000316;1600000;64;369;
3.141717;0.000124;0.000039;16000000;1;501;
3.141614;0.000021;0.000007;16000000;1;499;
3.142175;0.000583;0.000185;16000000;1;497;
3.141631;0.000038;0.000012;16000000;1;499;
3.142575;0.000982;0.000313;16000000;1;493;
3.142395;0.000802;0.000255;16000000;2;1176;
3.141127;-0.000465;0.000148;16000000;2;1101;
3.141207;-0.000385;0.000123;16000000;2;1347;
3.141193;-0.000400;0.000127;16000000;2;1163;
3.141779;0.000186;0.000059;16000000;2;1158;
3.141707;0.000114;0.000036;16000000;4;1354;
3.141587;-0.000006;0.000002;16000000;4;1237;
3.141550;-0.000043;0.000014;16000000;4;1255;
3.141895;0.000303;0.000096;16000000;4;1707;
3.141659;0.000067;0.000021;16000000;4;1243;
3.141376;-0.000217;0.000069;16000000;8;1339;
3.142037;0.000445;0.000142;16000000;8;2034;
3.140500;-0.001092;0.000348;16000000;8;1754;
3.141403;-0.000190;0.000060;16000000;8;1274;
3.141503;-0.000089;0.000028;16000000;8;2011;
3.141599;0.000006;0.000002;16000000;16;1722;
3.142320;0.000727;0.000231;16000000;16;1769;
3.141077;-0.000515;0.000164;16000000;16;1966;
3.142467;0.000874;0.000278;16000000;16;2828;
3.141775;0.000182;0.000058;16000000;16;1812;
3.141575;-0.000018;0.000006;16000000;32;2689;
3.141084;-0.000508;0.000162;16000000;32;3203;
3.142093;0.000501;0.000159;16000000;32;3193;
3.141262;-0.000331;0.000105;16000000;32;3549;
3.141283;-0.000310;0.000099;16000000;32;3704;
3.142388;0.000796;0.000253;16000000;64;3480;
3.141184;-0.000409;0.000130;16000000;64;3800;
3.141443;-0.000150;0.000048;16000000;64;2681;
3.141670;0.000077;0.000025;16000000;64;2775;
3.141617;0.000024;0.000008;16000000;64;3493;
3.141501;-0.000092;0.000029;160000000;1;4870;
3.141507;-0.000085;0.000027;160000000;1;4867;
3.141711;0.000118;0.000038;160000000;1;4883;
3.141650;0.000057;0.000018;160000000;1;4851;
3.141725;0.000132;0.000042;160000000;1;4858;
3.141295;-0.000297;0.000095;160000000;2;10649;
3.141273;-0.000320;0.000102;160000000;2;11638;
3.141735;0.000142;0.000045;160000000;2;10731;
3.141582;-0.000011;0.000003;160000000;2;12047;
3.141645;0.000053;0.000017;160000000;2;14239;
3.141733;0.000140;0.000045;160000000;4;17902;
3.141516;-0.000076;0.000024;160000000;4;12646;
3.141693;0.000100;0.000032;160000000;4;17659;
3.141319;-0.000274;0.000087;160000000;4;12698;
3.141538;-0.000055;0.000017;160000000;4;17418;
3.141741;0.000149;0.000047;160000000;8;19868;
3.141626;0.000033;0.000011;160000000;8;12824;
3.141771;0.000178;0.000057;160000000;8;13304;
3.141838;0.000245;0.000078;160000000;8;18013;
3.141646;0.000054;0.000017;160000000;8;12961;
3.141567;-0.000026;0.000008;160000000;16;34020;
3.141694;0.000101;0.000032;160000000;16;28246;
3.141558;-0.000034;0.000011;160000000;16;18198;
3.141603;0.000010;0.000003;160000000;16;32579;
3.141583;-0.000009;0.000003;160000000;16;27347;
3.141488;-0.000105;0.000033;160000000;32;24335;
3.141332;-0.000261;0.000083;160000000;32;24478;
3.141758;0.000165;0.000053;160000000;32;32468;
3.141794;0.000201;0.000064;160000000;32;33491;
3.141655;0.000062;0.000020;160000000;32;24988;
3.141565;-0.000028;0.000009;160000000;64;34611;
3.141750;0.000158;0.000050;160000000;64;25786;
3.141710;0.000117;0.000037;160000000;64;26313;
3.141442;-0.000151;0.000048;160000000;64;27602;
3.141804;0.000212;0.000067;160000000;64;33485;
