PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms);
3,144440;0,002847;0,000906;100000;1;32;
3,141160;-0,000433;0,000138;100000;1;16;
3,134960;-0,006633;0,002111;100000;1;31;
3,147720;0,006127;0,001950;100000;1;32;
3,143560;0,001967;0,000626;100000;1;16;
3,142320;0,000727;0,000232;200000;2;34;
3,137320;-0,004273;0,001360;200000;2;32;
3,143280;0,001687;0,000537;200000;2;24;
3,143640;0,002047;0,000652;200000;2;32;
3,147280;0,005687;0,001810;200000;2;24;
3,136080;-0,005513;0,001755;400000;4;31;
3,140520;-0,001073;0,000341;400000;4;30;
3,138120;-0,003473;0,001105;400000;4;31;
3,143840;0,002247;0,000715;400000;4;37;
3,138680;-0,002913;0,000927;400000;4;32;
3,141080;-0,000513;0,000163;800000;8;32;
3,143120;0,001527;0,000486;800000;8;35;
3,138240;-0,003353;0,001067;800000;8;32;
3,144280;0,002687;0,000855;800000;8;23;
3,143160;0,001567;0,000499;800000;8;25;
3,140080;-0,001513;0,000481;1600000;16;26;
3,133840;-0,007753;0,002468;1600000;16;70;
3,140600;-0,000993;0,000316;1600000;16;31;
3,143040;0,001447;0,000461;1600000;16;31;
3,141520;-0,000073;0,000023;1600000;16;29;
3,134040;-0,007553;0,002404;3200000;32;58;
3,146680;0,005087;0,001619;3200000;32;32;
3,154680;0,013087;0,004166;3200000;32;38;
3,147360;0,005767;0,001836;3200000;32;26;
3,134080;-0,007513;0,002391;3200000;32;44;
3,141860;0,000267;0,000085;1000000;1;141;
3,143816;0,002223;0,000708;1000000;1;124;
3,141684;0,000091;0,000029;1000000;1;126;
3,141012;-0,000581;0,000185;1000000;1;125;
3,141236;-0,000357;0,000114;1000000;1;125;
3,140180;-0,001413;0,000450;2000000;2;125;
3,137832;-0,003761;0,001197;2000000;2;121;
3,140608;-0,000985;0,000313;2000000;2;123;
3,141076;-0,000517;0,000164;2000000;2;119;
3,143096;0,001503;0,000479;2000000;2;122;
3,146308;0,004715;0,001501;4000000;4;126;
3,139476;-0,002117;0,000674;4000000;4;128;
3,141600;0,000007;0,000002;4000000;4;124;
3,142408;0,000815;0,000260;4000000;4;115;
3,138616;-0,002977;0,000947;4000000;4;146;
3,139416;-0,002177;0,000693;8000000;8;120;
3,142484;0,000891;0,000284;8000000;8;125;
3,141908;0,000315;0,000100;8000000;8;119;
3,143292;0,001699;0,000541;8000000;8;109;
3,140656;-0,000937;0,000298;8000000;8;125;
3,142304;0,000711;0,000226;16000000;16;245;
3,140036;-0,001557;0,000495;16000000;16;143;
3,141524;-0,000069;0,000022;16000000;16;167;
3,143532;0,001939;0,000617;16000000;16;156;
3,141156;-0,000437;0,000139;16000000;16;120;
3,144496;0,002903;0,000924;32000000;32;125;
3,136716;-0,004877;0,001552;32000000;32;183;
3,141072;-0,000521;0,000166;32000000;32;218;
3,142236;0,000643;0,000205;32000000;32;114;
3,140716;-0,000877;0,000279;32000000;32;244;
3,141138;-0,000455;0,000145;10000000;1;1176;
3,142402;0,000809;0,000257;10000000;1;1094;
3,141083;-0,000510;0,000162;10000000;1;1063;
3,141784;0,000192;0,000061;10000000;1;1108;
3,141759;0,000167;0,000053;10000000;1;1032;
3,141247;-0,000345;0,000110;20000000;2;1032;
3,141126;-0,000467;0,000149;20000000;2;2218;
3,141334;-0,000259;0,000082;20000000;2;1092;
3,140914;-0,000679;0,000216;20000000;2;1124;
3,141492;-0,000101;0,000032;20000000;2;1083;
3,141801;0,000208;0,000066;40000000;4;1063;
3,141916;0,000324;0,000103;40000000;4;1311;
3,141430;-0,000163;0,000052;40000000;4;1062;
3,141606;0,000014;0,000004;40000000;4;1081;
3,141317;-0,000275;0,000088;40000000;4;1094;
3,141701;0,000108;0,000034;80000000;8;1205;
3,141305;-0,000288;0,000092;80000000;8;1093;
3,141712;0,000119;0,000038;80000000;8;1513;
3,141739;0,000146;0,000047;80000000;8;1066;
3,141540;-0,000052;0,000017;80000000;8;1169;
3,141489;-0,000103;0,000033;160000000;16;1852;
3,141238;-0,000354;0,000113;160000000;16;1606;
3,141513;-0,000079;0,000025;160000000;16;1110;
3,140062;-0,001531;0,000487;160000000;16;1119;
3,141218;-0,000375;0,000119;160000000;16;1703;
3,142177;0,000585;0,000186;320000000;32;1230;
3,142158;0,000565;0,000180;320000000;32;1780;
3,141496;-0,000097;0,000031;320000000;32;1194;
3,141059;-0,000534;0,000170;320000000;32;1983;
3,142156;0,000563;0,000179;320000000;32;1220;
