PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms);
3.141160;-0.000433;0.000138;100000;1;12;
3.147520;0.005927;0.001887;100000;1;15;
3.132680;-0.008913;0.002837;100000;1;10;
3.144680;0.003087;0.000983;100000;1;14;
3.141840;0.000247;0.000079;100000;1;22;
3.140200;-0.001393;0.000443;200000;2;29;
3.128080;-0.013513;0.004301;200000;2;39;
3.140560;-0.001033;0.000329;200000;2;34;
3.144680;0.003087;0.000983;200000;2;28;
3.150200;0.008607;0.002740;200000;2;33;
3.129840;-0.011753;0.003741;400000;4;25;
3.142760;0.001167;0.000372;400000;4;25;
3.144200;0.002607;0.000830;400000;4;31;
3.136680;-0.004913;0.001564;400000;4;26;
3.145560;0.003967;0.001263;400000;4;38;
3.146560;0.004967;0.001581;800000;8;30;
3.143240;0.001647;0.000524;800000;8;38;
3.143640;0.002047;0.000652;800000;8;34;
3.142120;0.000527;0.000168;800000;8;28;
3.150640;0.009047;0.002880;800000;8;31;
3.144200;0.002607;0.000830;1600000;16;36;
3.145120;0.003527;0.001123;1600000;16;24;
3.144960;0.003367;0.001072;1600000;16;40;
3.142720;0.001127;0.000359;1600000;16;26;
3.143000;0.001407;0.000448;1600000;16;37;
3.144400;0.002807;0.000894;3200000;32;38;
3.144840;0.003247;0.001034;3200000;32;37;
3.136920;-0.004673;0.001487;3200000;32;42;
3.144560;0.002967;0.000945;3200000;32;40;
3.145680;0.004087;0.001301;3200000;32;40;
3.147000;0.005407;0.001721;6400000;64;38;
3.138920;-0.002673;0.000851;6400000;64;43;
3.134800;-0.006793;0.002162;6400000;64;47;
3.133960;-0.007633;0.002430;6400000;64;35;
3.143640;0.002047;0.000652;6400000;64;48;
3.143708;0.002115;0.000673;1000000;1;44;
3.139224;-0.002369;0.000754;1000000;1;51;
3.142384;0.000791;0.000252;1000000;1;47;
3.140292;-0.001301;0.000414;1000000;1;49;
3.143656;0.002063;0.000657;1000000;1;52;
3.141632;0.000039;0.000013;2000000;2;96;
3.142532;0.000939;0.000299;2000000;2;93;
3.141960;0.000367;0.000117;2000000;2;123;
3.144052;0.002459;0.000783;2000000;2;83;
3.141252;-0.000341;0.000108;2000000;2;103;
3.140536;-0.001057;0.000336;4000000;4;110;
3.140976;-0.000617;0.000196;4000000;4;133;
3.144160;0.002567;0.000817;4000000;4;146;
3.142572;0.000979;0.000312;4000000;4;137;
3.140880;-0.000713;0.000227;4000000;4;101;
3.140904;-0.000689;0.000219;8000000;8;160;
3.141128;-0.000465;0.000148;8000000;8;182;
3.141664;0.000071;0.000023;8000000;8;224;
3.142408;0.000815;0.000260;8000000;8;178;
3.142176;0.000583;0.000186;8000000;8;220;
3.138608;-0.002985;0.000950;16000000;16;240;
3.141216;-0.000377;0.000120;16000000;16;267;
3.139896;-0.001697;0.000540;16000000;16;294;
3.142060;0.000467;0.000149;16000000;16;271;
3.141088;-0.000505;0.000161;16000000;16;301;
3.141108;-0.000485;0.000154;32000000;32;184;
3.142212;0.000619;0.000197;32000000;32;231;
3.140328;-0.001265;0.000403;32000000;32;212;
3.139672;-0.001921;0.000611;32000000;32;238;
3.142012;0.000419;0.000133;32000000;32;204;
3.139696;-0.001897;0.000604;64000000;64;226;
3.142164;0.000571;0.000182;64000000;64;220;
3.139836;-0.001757;0.000559;64000000;64;223;
3.143068;0.001475;0.000470;64000000;64;215;
3.144152;0.002559;0.000815;64000000;64;234;
3.141502;-0.000091;0.000029;10000000;1;330;
3.142307;0.000715;0.000227;10000000;1;322;
3.141463;-0.000129;0.000041;10000000;1;322;
3.140968;-0.000625;0.000199;10000000;1;323;
3.140912;-0.000681;0.000217;10000000;1;316;
3.141972;0.000379;0.000121;20000000;2;773;
3.140767;-0.000826;0.000263;20000000;2;769;
3.140906;-0.000687;0.000219;20000000;2;989;
3.141006;-0.000587;0.000187;20000000;2;718;
3.141386;-0.000207;0.000066;20000000;2;757;
3.141478;-0.000114;0.000036;40000000;4;1026;
3.142769;0.001176;0.000374;40000000;4;813;
3.141708;0.000115;0.000037;40000000;4;807;
3.141996;0.000404;0.000129;40000000;4;1057;
3.141974;0.000381;0.000121;40000000;4;916;
3.140414;-0.001179;0.000375;80000000;8;1182;
3.141459;-0.000134;0.000043;80000000;8;1195;
3.142044;0.000451;0.000144;80000000;8;1114;
3.141417;-0.000175;0.000056;80000000;8;1357;
3.141861;0.000268;0.000085;80000000;8;850;
3.141990;0.000397;0.000126;160000000;16;1658;
3.141097;-0.000496;0.000158;160000000;16;1679;
3.141718;0.000126;0.000040;160000000;16;1562;
3.141802;0.000209;0.000067;160000000;16;1130;
3.142237;0.000645;0.000205;160000000;16;1733;
3.141903;0.000311;0.000099;320000000;32;2020;
3.141746;0.000153;0.000049;320000000;32;2011;
3.141349;-0.000243;0.000077;320000000;32;1988;
3.141194;-0.000399;0.000127;320000000;32;1907;
3.141338;-0.000254;0.000081;320000000;32;1812;
3.141518;-0.000074;0.000024;640000000;64;1782;
3.141537;-0.000056;0.000018;640000000;64;2083;
3.141130;-0.000462;0.000147;640000000;64;2192;
3.141902;0.000309;0.000098;640000000;64;2095;
3.142190;0.000597;0.000190;640000000;64;1987;
