PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms);
3.1417541504;0.0001614968;0.0000514060;131072;1;3.705;
3.1442871094;0.0026944558;0.0008576719;131072;1;3.384;
3.1527099609;0.0111173073;0.0035387488;131072;1;3.704;
3.1372680664;-0.0043245872;0.0013765589;131072;1;3.765;
3.1441955566;0.0026029031;0.0008285298;131072;1;3.369;
3.1412200928;-0.0003725608;0.0001185898;262144;1;3.715;
3.1411132812;-0.0004793723;0.0001525890;262144;1;3.713;
3.1461639404;0.0045712868;0.0014550858;262144;1;3.371;
3.1405334473;-0.0010592063;0.0003371558;262144;1;3.745;
3.1346130371;-0.0069796165;0.0022216809;262144;1;3.683;
3.1366729736;-0.0049196800;0.0015659828;524288;1;3.505;
3.1431427002;0.0015500466;0.0004933952;524288;1;3.581;
3.1419448853;0.0003522317;0.0001121188;524288;1;3.715;
3.1431808472;0.0015881936;0.0005055377;524288;1;3.486;
3.1401824951;-0.0014101585;0.0004488674;524288;1;3.589;
3.1418762207;0.0002835671;0.0000902622;1048576;1;3.703;
3.1415328979;-0.0000597556;0.0000190208;1048576;1;3.742;
3.1377563477;-0.0038363059;0.0012211341;1048576;1;3.399;
3.1415023804;-0.0000902732;0.0000287349;1048576;1;3.706;
3.1462745667;0.0046819131;0.0014902992;1048576;1;3.708;
3.1413669586;-0.0002256950;0.0000718409;2097152;1;3.354;
3.1378078461;-0.0037848075;0.0012047417;2097152;1;3.710;
3.1414356232;-0.0001570304;0.0000499843;2097152;1;3.701;
3.1407356262;-0.0008570274;0.0002728003;2097152;1;3.404;
3.1411437988;-0.0004488548;0.0001428749;2097152;1;3.712;
3.1430425644;0.0014499108;0.0004615209;4194304;1;3.336;
3.1407680511;-0.0008246024;0.0002624791;4194304;1;3.322;
3.1417722702;0.0001796166;0.0000571737;4194304;1;3.701;
3.1410045624;-0.0005880912;0.0001871952;4194304;1;3.484;
3.1413869858;-0.0002056678;0.0000654661;4194304;1;3.337;
3.1413211823;-0.0002714713;0.0000864120;8388608;1;3.313;
3.1417493820;0.0001567284;0.0000498882;8388608;1;3.618;
3.1420335770;0.0004409234;0.0001403503;8388608;1;3.277;
3.1416206360;0.0000279824;0.0000089071;8388608;1;3.296;
3.1405224800;-0.0010701736;0.0003406468;8388608;1;3.289;
3.1412851810;-0.0003074725;0.0000978716;16777216;1;3.294;
3.1410665512;-0.0005261024;0.0001674636;16777216;1;3.299;
3.1417756081;0.0001829545;0.0000582362;16777216;1;3.294;
3.1410624981;-0.0005301555;0.0001687537;16777216;1;3.303;
3.1420896053;0.0004969517;0.0001581847;16777216;1;3.299;
3.1416165829;0.0000239293;0.0000076169;33554432;1;3.374;
3.1416549683;0.0000623147;0.0000198354;33554432;1;3.335;
3.1418365240;0.0002438704;0.0000776264;33554432;1;3.358;
3.1415485144;-0.0000441392;0.0000140500;33554432;1;3.331;
3.1416863203;0.0000936667;0.0000298150;33554432;1;3.336;
3.1415704489;-0.0000222047;0.0000070680;67108864;1;4.554;
3.1415420175;-0.0000506361;0.0000161180;67108864;1;4.704;
3.1415600181;-0.0000326355;0.0000103882;67108864;1;4.692;
3.1417240500;0.0001313965;0.0000418248;67108864;1;4.338;
3.1416606307;0.0000679771;0.0000216378;67108864;1;4.694;
3.1414988637;-0.0000937899;0.0000298543;134217728;1;8.777;
3.1416380703;0.0000454168;0.0000144566;134217728;1;8.777;
3.1414510906;-0.0001415630;0.0000450609;134217728;1;9.118;
3.1415150464;-0.0000776072;0.0000247031;134217728;1;9.175;
3.1414254010;-0.0001672526;0.0000532382;134217728;1;8.775;
3.1416484863;0.0000558327;0.0000177721;268435456;1;17.378;
3.1415252984;-0.0000673552;0.0000214398;268435456;1;17.203;
3.1415840089;-0.0000086447;0.0000027517;268435456;1;17.082;
3.1415275931;-0.0000650605;0.0000207094;268435456;1;17.421;
3.1415790468;-0.0000136067;0.0000043312;268435456;1;16.932;
3.1415884048;-0.0000042488;0.0000013524;536870912;1;32.487;
3.1414533481;-0.0001393055;0.0000443423;536870912;1;32.606;
3.1417119429;0.0001192893;0.0000379710;536870912;1;32.587;
3.1416742057;0.0000815521;0.0000259588;536870912;1;32.551;
3.1415653005;-0.0000273531;0.0000087068;536870912;1;32.754;
3.1415414289;-0.0000512247;0.0000163053;1073741824;1;63.423;
3.1414798051;-0.0001128485;0.0000359208;1073741824;1;63.996;
3.1415833309;-0.0000093227;0.0000029675;1073741824;1;63.664;
3.1415292472;-0.0000634064;0.0000201829;1073741824;1;63.483;
3.1415125094;-0.0000801442;0.0000255107;1073741824;1;63.128;
3.1415687520;-0.0000239016;0.0000076081;2147483648;1;126.004;
3.1416142713;0.0000216177;0.0000068811;2147483648;1;126.319;
3.1415784154;-0.0000142382;0.0000045322;2147483648;1;126.756;
3.1416251287;0.0000324751;0.0000103371;2147483648;1;126.772;
3.1415572315;-0.0000354220;0.0000112752;2147483648;1;126.335;
3.1416437961;0.0000511425;0.0000162792;4294967296;1;250.488;
3.1416154178;0.0000227642;0.0000072461;4294967296;1;251.121;
3.1416119765;0.0000193230;0.0000061507;4294967296;1;251.119;
3.1415945916;0.0000019380;0.0000006169;4294967296;1;251.631;
3.1415783465;-0.0000143071;0.0000045541;4294967296;1;251.336;
3.1415939168;0.0000012632;0.0000004021;8589934592;1;499.018;
3.1415540604;-0.0000385932;0.0000122846;8589934592;1;501.013;
3.1416203654;0.0000277118;0.0000088210;8589934592;1;500.739;
3.1415714482;-0.0000212054;0.0000067499;8589934592;1;500.162;
3.1415904984;-0.0000021552;0.0000006860;8589934592;1;499.539;
3.1415959885;0.0000033349;0.0000010615;17179869184;1;995.193;
3.1415880241;-0.0000046295;0.0000014736;17179869184;1;998.747;
3.1415870595;-0.0000055941;0.0000017807;17179869184;1;998.246;
3.1415973234;0.0000046698;0.0000014864;17179869184;1;994.497;
3.1415864776;-0.0000061760;0.0000019659;17179869184;1;995.604;
3.1415959196;0.0000032660;0.0000010396;34359738368;1;1996.634;
3.1415768522;-0.0000158014;0.0000050297;34359738368;1;1996.548;
3.1415932439;0.0000005903;0.0000001879;34359738368;1;2008.595;
3.1415915525;-0.0000011011;0.0000003505;34359738368;1;2081.589;
3.1415939869;0.0000013333;0.0000004244;34359738368;1;2051.944;
3.1415860782;-0.0000065754;0.0000020930;68719476736;1;4041.864;
3.1415890775;-0.0000035761;0.0000011383;68719476736;1;4158.068;
3.1415982712;0.0000056176;0.0000017881;68719476736;1;4187.350;
3.1415933734;0.0000007198;0.0000002291;68719476736;1;4151.764;
3.1415823081;-0.0000103455;0.0000032931;68719476736;1;4143.914;
3.1415986788;0.0000060252;0.0000019179;137438953472;1;8223.711;
3.1415931812;0.0000005276;0.0000001679;137438953472;1;8255.480;
3.1415920233;-0.0000006303;0.0000002006;137438953472;1;8193.025;
3.1415873212;-0.0000053324;0.0000016973;137438953472;1;8192.898;
3.1415925584;-0.0000000952;0.0000000303;137438953472;1;8142.748;
3.1415955410;0.0000028874;0.0000009191;274877906944;1;15910.273;
3.1415906711;-0.0000019825;0.0000006310;274877906944;1;16067.927;
3.1415899772;-0.0000026764;0.0000008519;274877906944;1;16155.768;
3.1415948142;0.0000021606;0.0000006877;274877906944;1;16036.447;
3.1415953798;0.0000027262;0.0000008678;274877906944;1;16024.366;
3.1415938108;0.0000011572;0.0000003684;549755813888;1;32042.723;
3.1415943239;0.0000016703;0.0000005317;549755813888;1;32057.891;
3.1415909254;-0.0000017282;0.0000005501;549755813888;1;32055.979;
3.1415942660;0.0000016125;0.0000005133;549755813888;1;32056.945;
3.1415924067;-0.0000002468;0.0000000786;549755813888;1;32005.779;
3.1415913011;-0.0000013525;0.0000004305;1099511627776;1;64081.012;
3.1415931096;0.0000004560;0.0000001452;1099511627776;1;64143.062;
3.1415950792;0.0000024257;0.0000007721;1099511627776;1;64104.062;
3.1415946076;0.0000019540;0.0000006220;1099511627776;1;64089.543;
3.1415924981;-0.0000001555;0.0000000495;1099511627776;1;64075.180;
3.1415927500;0.0000000964;0.0000000307;2199023255552;1;128202.156;
3.1415936093;0.0000009557;0.0000003042;2199023255552;1;128078.117;
3.1415923399;-0.0000003137;0.0000000999;2199023255552;1;128216.758;
3.1415911760;-0.0000014775;0.0000004703;2199023255552;1;128904.906;
3.1415926904;0.0000000368;0.0000000117;2199023255552;1;128268.938;
3.1415931286;0.0000004750;0.0000001512;4398046511104;1;256465.594;
3.1415932898;0.0000006362;0.0000002025;4398046511104;1;256786.500;
3.1415913722;-0.0000012814;0.0000004079;4398046511104;1;98885.148;
3.1415925404;-0.0000001132;0.0000000360;4398046511104;1;97249.930;
