PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms);
3.141280;-0.000313;0.000100;100000;1;22;
3.151720;0.010127;0.003224;100000;1;9;
3.146640;0.005047;0.001607;100000;1;6;
3.143120;0.001527;0.000486;100000;1;10;
3.131880;-0.009713;0.003092;100000;1;17;
3.140120;-0.001473;0.000469;100000;1;12;
3.144120;0.002527;0.000804;100000;1;14;
3.141200;-0.000393;0.000125;100000;1;15;
3.139400;-0.002193;0.000698;100000;1;7;
3.139680;-0.001913;0.000609;100000;1;18;
3.139760;-0.001833;0.000583;200000;2;20;
3.144520;0.002927;0.000932;200000;2;20;
3.142960;0.001367;0.000435;200000;2;18;
3.138560;-0.003033;0.000965;200000;2;22;
3.139920;-0.001673;0.000532;200000;2;29;
3.138480;-0.003113;0.000991;200000;2;16;
3.139400;-0.002193;0.000698;200000;2;36;
3.137980;-0.003613;0.001150;200000;2;32;
3.142880;0.001287;0.000410;200000;2;14;
3.143380;0.001787;0.000569;200000;2;16;
3.138500;-0.003093;0.000984;400000;4;26;
3.137700;-0.003893;0.001239;400000;4;37;
3.141870;0.000277;0.000088;400000;4;30;
3.141070;-0.000523;0.000166;400000;4;33;
3.143100;0.001507;0.000480;400000;4;26;
3.141450;-0.000143;0.000045;400000;4;33;
3.145440;0.003847;0.001225;400000;4;28;
3.143840;0.002247;0.000715;400000;4;20;
3.136140;-0.005453;0.001736;400000;4;29;
3.142100;0.000507;0.000161;400000;4;27;
3.142360;0.000767;0.000244;800000;8;41;
3.140835;-0.000758;0.000241;800000;8;37;
3.140315;-0.001278;0.000407;800000;8;53;
3.139275;-0.002318;0.000738;800000;8;45;
3.142840;0.001247;0.000397;800000;8;40;
3.144640;0.003047;0.000970;800000;8;37;
3.144130;0.002537;0.000808;800000;8;33;
3.143120;0.001527;0.000486;800000;8;40;
3.141340;-0.000253;0.000080;800000;8;41;
3.138195;-0.003398;0.001082;800000;8;39;
3.139613;-0.001980;0.000630;1600000;16;68;
3.142500;0.000907;0.000289;1600000;16;84;
3.140920;-0.000673;0.000214;1600000;16;75;
3.143668;0.002075;0.000660;1600000;16;58;
3.141995;0.000402;0.000128;1600000;16;58;
3.141980;0.000387;0.000123;1600000;16;78;
3.142128;0.000535;0.000170;1600000;16;65;
3.140890;-0.000703;0.000224;1600000;16;62;
3.143330;0.001737;0.000553;1600000;16;80;
3.142323;0.000730;0.000232;1600000;16;75;
3.140605;-0.000988;0.000314;3200000;32;95;
3.141288;-0.000305;0.000097;3200000;32;88;
3.141804;0.000211;0.000067;3200000;32;91;
3.141431;-0.000161;0.000051;3200000;32;90;
3.142841;0.001249;0.000397;3200000;32;106;
3.142089;0.000496;0.000158;3200000;32;90;
3.141506;-0.000086;0.000028;3200000;32;82;
3.142244;0.000651;0.000207;3200000;32;105;
3.141726;0.000134;0.000043;3200000;32;106;
3.141428;-0.000165;0.000053;3200000;32;94;
3.142483;0.000890;0.000283;6400000;64;125;
3.141883;0.000290;0.000092;6400000;64;130;
3.141668;0.000075;0.000024;6400000;64;140;
3.141072;-0.000521;0.000166;6400000;64;136;
3.141144;-0.000448;0.000143;6400000;64;160;
3.141571;-0.000021;0.000007;6400000;64;116;
3.142100;0.000507;0.000161;6400000;64;144;
3.141441;-0.000152;0.000048;6400000;64;129;
3.141388;-0.000205;0.000065;6400000;64;134;
3.142003;0.000410;0.000131;6400000;64;149;
3.142020;0.000427;0.000136;1000000;1;32;
3.143352;0.001759;0.000560;1000000;1;38;
3.140012;-0.001581;0.000503;1000000;1;43;
3.140232;-0.001361;0.000433;1000000;1;35;
3.140916;-0.000677;0.000215;1000000;1;47;
3.139824;-0.001769;0.000563;1000000;1;38;
3.141720;0.000127;0.000041;1000000;1;44;
3.140380;-0.001213;0.000386;1000000;1;44;
3.140336;-0.001257;0.000400;1000000;1;43;
3.138960;-0.002633;0.000838;1000000;1;43;
3.143604;0.002011;0.000640;2000000;2;42;
3.141838;0.000245;0.000078;2000000;2;43;
3.142718;0.001125;0.000358;2000000;2;45;
3.141276;-0.000317;0.000101;2000000;2;47;
3.143376;0.001783;0.000568;2000000;2;43;
3.141404;-0.000189;0.000060;2000000;2;58;
3.140754;-0.000839;0.000267;2000000;2;46;
3.142558;0.000965;0.000307;2000000;2;48;
3.140664;-0.000929;0.000296;2000000;2;48;
