PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms);
3.139515;-0.002078;0.000661;1600000;1;49;
3.142000;0.000407;0.000130;1600000;1;49;
3.140780;-0.000813;0.000259;1600000;1;50;
3.141265;-0.000328;0.000104;1600000;1;55;
3.141798;0.000205;0.000065;1600000;1;49;
3.139748;-0.001845;0.000587;1600000;1;49;
3.142193;0.000600;0.000191;1600000;1;50;
3.141743;0.000150;0.000048;1600000;1;49;
3.142768;0.001175;0.000374;1600000;1;48;
3.137430;-0.004163;0.001325;1600000;1;49;
3.141060;-0.000533;0.000170;1600000;2;33;
3.142130;0.000537;0.000171;1600000;2;39;
3.141493;-0.000100;0.000032;1600000;2;40;
3.140745;-0.000848;0.000270;1600000;2;34;
3.140198;-0.001395;0.000444;1600000;2;35;
3.139873;-0.001720;0.000548;1600000;2;34;
3.141900;0.000307;0.000098;1600000;2;34;
3.140743;-0.000850;0.000271;1600000;2;33;
3.140993;-0.000600;0.000191;1600000;2;33;
3.143043;0.001450;0.000462;1600000;2;33;
3.142803;0.001210;0.000385;1600000;4;29;
3.141780;0.000187;0.000060;1600000;4;27;
3.143398;0.001805;0.000575;1600000;4;29;
3.140813;-0.000780;0.000248;1600000;4;27;
3.143178;0.001585;0.000504;1600000;4;27;
3.140265;-0.001328;0.000423;1600000;4;27;
3.141398;-0.000195;0.000062;1600000;4;29;
3.142255;0.000662;0.000211;1600000;4;27;
3.143915;0.002322;0.000739;1600000;4;24;
3.139535;-0.002058;0.000655;1600000;4;29;
3.139350;-0.002243;0.000714;1600000;8;49;
3.142420;0.000827;0.000263;1600000;8;38;
3.142925;0.001332;0.000424;1600000;8;35;
3.140833;-0.000760;0.000242;1600000;8;38;
3.140668;-0.000925;0.000294;1600000;8;41;
3.142360;0.000767;0.000244;1600000;8;45;
3.139788;-0.001805;0.000575;1600000;8;44;
3.141188;-0.000405;0.000129;1600000;8;29;
3.142233;0.000640;0.000204;1600000;8;42;
3.140580;-0.001013;0.000322;1600000;8;45;
3.140195;-0.001398;0.000445;1600000;16;60;
3.142040;0.000447;0.000142;1600000;16;59;
3.140893;-0.000700;0.000223;1600000;16;55;
3.142563;0.000970;0.000309;1600000;16;65;
3.142818;0.001225;0.000390;1600000;16;58;
3.142300;0.000707;0.000225;1600000;16;55;
3.142463;0.000870;0.000277;1600000;16;62;
3.139050;-0.002543;0.000809;1600000;16;59;
