PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms);
3.141947;0.000355;0.000113;16000000;1;455;
3.142168;0.000576;0.000183;16000000;1;442;
3.141520;-0.000073;0.000023;16000000;1;454;
3.140986;-0.000607;0.000193;16000000;1;461;
3.141732;0.000139;0.000044;16000000;1;447;
3.140843;-0.000750;0.000239;16000000;1;449;
3.141704;0.000112;0.000036;16000000;1;478;
3.141551;-0.000042;0.000013;16000000;1;446;
3.141928;0.000335;0.000107;16000000;1;448;
3.141436;-0.000157;0.000050;16000000;1;452;
3.141450;-0.000142;0.000045;16000000;2;235;
3.142009;0.000416;0.000132;16000000;2;235;
3.141561;-0.000032;0.000010;16000000;2;238;
3.141023;-0.000570;0.000181;16000000;2;245;
3.141767;0.000174;0.000055;16000000;2;237;
3.141544;-0.000049;0.000015;16000000;2;235;
3.141383;-0.000210;0.000067;16000000;2;240;
3.141690;0.000097;0.000031;16000000;2;249;
3.141457;-0.000136;0.000043;16000000;2;242;
3.142017;0.000424;0.000135;16000000;2;235;
3.142067;0.000474;0.000151;16000000;4;130;
3.141540;-0.000052;0.000017;16000000;4;130;
3.141757;0.000164;0.000052;16000000;4;131;
3.141569;-0.000024;0.000008;16000000;4;134;
3.141385;-0.000208;0.000066;16000000;4;130;
3.142019;0.000427;0.000136;16000000;4;131;
3.141353;-0.000239;0.000076;16000000;4;129;
3.141788;0.000195;0.000062;16000000;4;131;
3.141395;-0.000197;0.000063;16000000;4;132;
3.141240;-0.000352;0.000112;16000000;4;130;
3.141062;-0.000531;0.000169;16000000;8;83;
3.142039;0.000446;0.000142;16000000;8;76;
3.141777;0.000184;0.000059;16000000;8;83;
3.141791;0.000199;0.000063;16000000;8;86;
3.142111;0.000518;0.000165;16000000;8;81;
3.141502;-0.000090;0.000029;16000000;8;85;
3.141495;-0.000098;0.000031;16000000;8;82;
3.141576;-0.000016;0.000005;16000000;8;81;
3.142111;0.000518;0.000165;16000000;8;82;
3.141578;-0.000014;0.000005;16000000;8;84;
3.142397;0.000805;0.000256;16000000;16;71;
3.142419;0.000826;0.000263;16000000;16;78;
3.141514;-0.000079;0.000025;16000000;16;62;
3.141862;0.000269;0.000086;16000000;16;72;
3.141420;-0.000173;0.000055;16000000;16;75;
3.142255;0.000662;0.000211;16000000;16;61;
3.141329;-0.000264;0.000084;16000000;16;74;
3.141277;-0.000315;0.000100;16000000;16;65;
3.141615;0.000023;0.000007;16000000;16;72;
3.141480;-0.000113;0.000036;16000000;16;57;
3.141638;0.000045;0.000014;16000000;32;91;
3.141314;-0.000279;0.000089;16000000;32;98;
3.141436;-0.000157;0.000050;16000000;32;87;
3.141433;-0.000160;0.000051;16000000;32;98;
3.141684;0.000091;0.000029;16000000;32;111;
3.141921;0.000328;0.000104;16000000;32;89;
3.141659;0.000066;0.000021;16000000;32;98;
3.141594;0.000001;0.000000;16000000;32;99;
3.141817;0.000224;0.000071;16000000;32;101;
3.141721;0.000129;0.000041;16000000;32;106;
3.142018;0.000426;0.000135;16000000;64;126;
3.141151;-0.000442;0.000141;16000000;64;143;
3.141723;0.000130;0.000041;16000000;64;116;
3.141801;0.000208;0.000066;16000000;64;106;
3.140988;-0.000605;0.000192;16000000;64;120;
3.141631;0.000039;0.000012;16000000;64;125;
3.142391;0.000798;0.000254;16000000;64;169;
3.141549;-0.000044;0.000014;16000000;64;143;
3.140957;-0.000636;0.000202;16000000;64;136;
3.142042;0.000450;0.000143;16000000;64;127;
