PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms);
3.141833;0.000240;0.000076;1600000;64;66;
3.140628;-0.000965;0.000307;1600000;64;20;
3.142638;0.001045;0.000333;1600000;64;18;
3.139240;-0.002353;0.000749;1600000;64;22;
3.141058;-0.000535;0.000170;1600000;64;22;
3.142305;0.000712;0.000227;1600000;64;21;
3.139460;-0.002133;0.000679;1600000;64;20;
3.142860;0.001267;0.000403;1600000;64;19;
3.142618;0.001025;0.000326;1600000;64;29;
3.142250;0.000657;0.000209;1600000;64;17;
3.141130;-0.000463;0.000147;16000000;64;117;
3.142805;0.001212;0.000386;16000000;64;41;
3.141692;0.000099;0.000032;16000000;64;44;
3.141722;0.000129;0.000041;16000000;64;42;
3.141244;-0.000349;0.000111;16000000;64;37;
3.141465;-0.000128;0.000041;16000000;64;43;
3.141461;-0.000132;0.000042;16000000;64;44;
3.141436;-0.000157;0.000050;16000000;64;37;
3.141134;-0.000459;0.000146;16000000;64;39;
3.141582;-0.000010;0.000003;16000000;64;39;
3.141642;0.000050;0.000016;160000000;64;255;
3.141832;0.000239;0.000076;160000000;64;256;
3.141566;-0.000027;0.000009;160000000;64;247;
3.141700;0.000107;0.000034;160000000;64;251;
3.141641;0.000048;0.000015;160000000;64;249;
3.141433;-0.000142;0.000042;160000000;64;242;
3.141653;0.000061;0.000019;160000000;64;255;
3.141465;-0.000128;0.000041;160000000;64;256;
3.141718;0.000125;0.000040;160000000;64;250;
3.141431;-0.000162;0.000052;160000000;64;246;
3.141566;-0.000027;0.000009;1600000000;64;2159;
3.141601;0.000009;0.000003;1600000000;64;2077;
3.141622;0.000029;0.000009;1600000000;64;2190;
3.141629;0.000036;0.000012;1600000000;64;2202;
3.141602;0.000009;0.000003;1600000000;64;2211;
3.141664;0.000072;0.000023;1600000000;64;2179;
3.141577;-0.000016;0.000005;1600000000;64;2168;
3.141588;-0.000005;0.000002;1600000000;64;2197;
3.141644;0.000052;0.000016;1600000000;64;2120;
3.141577;-0.000016;0.000005;1600000000;64;2165;
