PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms);
3.1404775000;-0.0011151536;0.0003549644;1600000;1;1.735;
3.1423875000;0.0007948464;0.0002530075;1600000;1;1.731;
3.1404475000;-0.0011451536;0.0003645137;1600000;1;1.734;
3.1414425000;-0.0001501536;0.0000477954;1600000;1;1.736;
3.1410625000;-0.0005301536;0.0001687531;1600000;1;1.770;
3.1418615000;0.0002688464;0.0000855765;16000000;1;2.082;
3.1421047500;0.0005120964;0.0001630054;16000000;1;2.082;
3.1412962500;-0.0002964036;0.0000943482;16000000;1;2.081;
3.1412247500;-0.0003679036;0.0001171073;16000000;1;2.082;
3.1416157500;0.0000230964;0.0000073518;16000000;1;2.784;
3.1415877750;-0.0000048786;0.0000015529;160000000;1;6.296;
3.1415082750;-0.0000843786;0.0000268585;160000000;1;9.575;
3.1415965500;0.0000038964;0.0000012403;160000000;1;5.340;
3.1413654000;-0.0002272536;0.0000723371;160000000;1;3.772;
3.1414426250;-0.0001500286;0.0000477556;160000000;1;3.775;
3.1416162050;0.0000235514;0.0000074966;1600000000;1;39.558;
3.1415660850;-0.0000265686;0.0000084570;1600000000;1;42.016;
3.1415472325;-0.0000454211;0.0000144580;1600000000;1;38.931;
3.1415752750;-0.0000173786;0.0000055318;1600000000;1;39.137;
3.1415911125;-0.0000015411;0.0000004905;1600000000;1;38.954;
