PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms)
3,139200;-0,002393;0,000762;1600000;1;139;
3,140425;-0,001168;0,000372;1600000;1;139;
3,141055;-0,000538;0,000171;1600000;1;136;
3,141805;0,000212;0,000068;1600000;1;135;
3,144308;0,002715;0,000864;1600000;1;138;
3,140918;-0,000675;0,000215;1600000;1;137;
3,140498;-0,001095;0,000349;1600000;1;143;
3,142095;0,000502;0,000160;1600000;1;142;
3,142773;0,001180;0,000376;1600000;1;165;
3,140998;-0,000595;0,000189;1600000;1;143;
3,142940;0,001347;0,000429;1600000;2;272;
3,141505;-0,000088;0,000028;1600000;2;276;
3,143115;0,001522;0,000485;1600000;2;272;
3,143790;0,002197;0,000699;1600000;2;286;
3,142090;0,000497;0,000158;1600000;2;334;
3,141695;0,000102;0,000033;1600000;2;240;
3,142395;0,000802;0,000255;1600000;2;268;
3,142610;0,001017;0,000324;1600000;2;284;
3,142255;0,000662;0,000211;1600000;2;290;
3,143215;0,001622;0,000516;1600000;2;304;
3,143160;0,001567;0,000499;1600000;4;380;
3,142780;0,001187;0,000378;1600000;4;392;
3,135490;-0,006103;0,001943;1600000;4;352;
3,140620;-0,000973;0,000310;1600000;4;476;
3,142460;0,000867;0,000276;1600000;4;456;
3,144420;0,002827;0,000900;1600000;4;520;
3,141200;-0,000393;0,000125;1600000;4;392;
3,144730;0,003137;0,000999;1600000;4;400;
3,143470;0,001877;0,000598;1600000;4;384;
3,139350;-0,002243;0,000714;1600000;4;560;
3,142100;0,000507;0,000161;1600000;8;576;
3,140840;-0,000753;0,000240;1600000;8;1104;
3,141240;-0,000353;0,000112;1600000;8;944;
3,142440;0,000847;0,000270;1600000;8;784;
3,146920;0,005327;0,001696;1600000;8;744;
3,148820;0,007227;0,002301;1600000;8;1008;
3,140500;-0,001093;0,000348;1600000;8;728;
3,136660;-0,004933;0,001570;1600000;8;1184;
3,141600;0,000007;0,000002;1600000;8;760;
3,140900;-0,000693;0,000220;1600000;8;672;
3,138640;-0,002953;0,000940;1600000;16;1920;
3,141560;-0,000033;0,000010;1600000;16;1792;
3,148000;0,006407;0,002040;1600000;16;1488;
3,141840;0,000247;0,000079;1600000;16;1648;
3,133160;-0,008433;0,002684;1600000;16;2240;
3,136680;-0,004913;0,001564;1600000;16;1680;
3,143840;0,002247;0,000715;1600000;16;1872;
3,134920;-0,006673;0,002124;1600000;16;1760;
3,145680;0,004087;0,001301;1600000;16;1664;
3,141360;-0,000233;0,000074;1600000;16;1936;
3,133520;-0,008073;0,002570;1600000;32;3104;
3,143200;0,001607;0,000512;1600000;32;3264;
3,140000;-0,001593;0,000507;1600000;32;2336;
3,137280;-0,004313;0,001373;1600000;32;2688;
3,123600;-0,017993;0,005727;1600000;32;2336;
3,137520;-0,004073;0,001296;1600000;32;2240;
3,138960;-0,002633;0,000838;1600000;32;3680;
3,152880;0,011287;0,003593;1600000;32;2720;
3,133520;-0,008073;0,002570;1600000;32;2752;
3,142960;0,001367;0,000435;1600000;32;2912;
3,157280;0,015687;0,004993;1600000;64;1792;
3,145920;0,004327;0,001377;1600000;64;1920;
3,140000;-0,001593;0,000507;1600000;64;2240;
3,139040;-0,002553;0,000813;1600000;64;1856;
3,150400;0,008807;0,002803;1600000;64;2496;
3,143840;0,002247;0,000715;1600000;64;1216;
3,151040;0,009447;0,003007;1600000;64;960;
3,138560;-0,003033;0,000965;1600000;64;1600;
3,132160;-0,009433;0,003003;1600000;64;1536;
3,148000;0,006407;0,002040;1600000;64;1472;
3,132480;-0,009113;0,002901;1600000;128;4096;
3,154560;0,012967;0,004128;1600000;128;1536;
3,163840;0,022247;0,007082;1600000;128;2688;
3,147520;0,005927;0,001887;1600000;128;3328;
3,157440;0,015847;0,005044;1600000;128;2304;
3,104320;-0,037273;0,011864;1600000;128;2688;
3,171200;0,029607;0,009424;1600000;128;2048;
3,149440;0,007847;0,002498;1600000;128;1792;
3,125120;-0,016473;0,005243;1600000;128;3584;
3,151040;0,009447;0,003007;1600000;128;2304;
3,141204;-0,000388;0,000124;16000000;1;1260;
3,142059;0,000467;0,000149;16000000;1;1253;
3,141658;0,000065;0,000021;16000000;1;1272;
3,141451;-0,000141;0,000045;16000000;1;1281;
3,141776;0,000184;0,000058;16000000;1;1284;
3,141462;-0,000131;0,000042;16000000;1;1221;
3,140993;-0,000600;0,000191;16000000;1;1226;
3,141921;0,000328;0,000104;16000000;1;1231;
3,141718;0,000125;0,000040;16000000;1;1218;
3,141826;0,000233;0,000074;16000000;1;1230;
3,141480;-0,000113;0,000036;16000000;2;2462;
3,143071;0,001478;0,000470;16000000;2;2490;
3,142237;0,000644;0,000205;16000000;2;2642;
3,141216;-0,000377;0,000120;16000000;2;2506;
3,140823;-0,000770;0,000245;16000000;2;2552;
3,141666;0,000073;0,000023;16000000;2;2476;
3,142250;0,000657;0,000209;16000000;2;2630;
3,140888;-0,000705;0,000224;16000000;2;2910;
3,140808;-0,000785;0,000250;16000000;2;2518;
3,142168;0,000575;0,000183;16000000;2;2630;
3,140520;-0,001073;0,000341;16000000;4;3260;
3,141611;0,000018;0,000006;16000000;4;2932;
3,142063;0,000470;0,000150;16000000;4;3136;
3,140832;-0,000761;0,000242;16000000;4;3036;
3,141067;-0,000526;0,000167;16000000;4;2884;
3,140921;-0,000672;0,000214;16000000;4;2900;
3,141003;-0,000590;0,000188;16000000;4;3096;
3,142116;0,000523;0,000167;16000000;4;3040;
3,142124;0,000531;0,000169;16000000;4;2964;
3,141380;-0,000213;0,000068;16000000;4;2832;
3,140094;-0,001499;0,000477;16000000;8;4072;
3,144404;0,002811;0,000895;16000000;8;4400;
3,140248;-0,001345;0,000428;16000000;8;4104;
3,140470;-0,001123;0,000357;16000000;8;4040;
3,141134;-0,000459;0,000146;16000000;8;4032;
3,140332;-0,001261;0,000401;16000000;8;4136;
3,143580;0,001987;0,000633;16000000;8;3816;
3,141338;-0,000255;0,000081;16000000;8;4168;
3,139994;-0,001599;0,000509;16000000;8;4352;
3,142506;0,000913;0,000291;16000000;8;4240;
3,142572;0,000979;0,000312;16000000;16;5728;
3,143488;0,001895;0,000603;16000000;16;5600;
3,140276;-0,001317;0,000419;16000000;16;5520;
3,146240;0,004647;0,001479;16000000;16;5568;
3,141088;-0,000505;0,000161;16000000;16;5888;
3,142408;0,000815;0,000260;16000000;16;5744;
3,141828;0,000235;0,000075;16000000;16;6160;
3,142264;0,000671;0,000214;16000000;16;6384;
3,141304;-0,000289;0,000092;16000000;16;5712;
3,141316;-0,000277;0,000088;16000000;16;5568;
3,141384;-0,000209;0,000066;16000000;32;7904;
3,140096;-0,001497;0,000476;16000000;32;8160;
3,140176;-0,001417;0,000451;16000000;32;8192;
3,141432;-0,000161;0,000051;16000000;32;8800;
3,143576;0,001983;0,000631;16000000;32;8544;
3,140688;-0,000905;0,000288;16000000;32;8224;
3,142592;0,000999;0,000318;16000000;32;8224;
3,142232;0,000639;0,000204;16000000;32;9088;
3,140992;-0,000601;0,000191;16000000;32;7616;
3,139224;-0,002369;0,000754;16000000;32;8768;
3,141568;-0,000025;0,000008;16000000;64;15040;
3,144128;0,002535;0,000807;16000000;64;11072;
