Date;Number of Workers;Total Throws;Estimated Pi;Error;Execution Time (ms)
2024-11-29 16:05:08;1;1600000;3,14241500;2,61760992e-04;76
2024-11-29 16:05:35;1;1600000;3,13937750;7,05105287e-04;93
2024-11-29 16:05:45;1;1600000;3,14287250;4,07387765e-04;80
2024-11-29 16:05:46;1;1600000;3,14364250;6,52486378e-04;67
2024-11-29 16:05:46;1;1600000;3,14358250;6,33387784e-04;144
2024-11-29 16:05:47;1;1600000;3,14209000;1,58310279e-04;84
2024-11-29 16:05:48;1;1600000;3,14081250;2,48330600e-04;159
2024-11-29 16:05:48;1;1600000;3,14115500;1,39309464e-04;66
2024-11-29 16:05:49;1;1600000;3,14141250;5,73446687e-05;95
2024-11-29 16:05:49;1;1600000;3,14279000;3,81127200e-04;62
2024-11-29 16:07:37;1;16000000;3,14148875;3,30735398e-05;435
2024-11-29 16:07:41;1;16000000;3,14085925;2,33449613e-04;437
2024-11-29 16:07:42;1;16000000;3,14158325;2,99325560e-06;458
2024-11-29 16:07:43;1;16000000;3,14152575;2,12960741e-05;464
2024-11-29 16:07:44;1;16000000;3,14135225;7,65228393e-05;461
2024-11-29 16:07:44;1;16000000;3,14211100;1,64994787e-04;461
2024-11-29 16:07:45;1;16000000;3,14193450;1,08813092e-04;449
2024-11-29 16:07:46;1;16000000;3,14158950;1,00381881e-06;485
2024-11-29 16:07:46;1;16000000;3,14190375;9,90250629e-05;447
2024-11-29 16:07:47;1;16000000;3,14087825;2,27401725e-04;461
2024-11-29 16:09:22;1;160000000;3,14149358;3,15376946e-05;4208
2024-11-29 16:09:34;1;160000000;3,14167328;2,56625919e-05;4216
2024-11-29 16:09:39;1;160000000;3,14151975;2,32059334e-05;4390
2024-11-29 16:09:44;1;160000000;3,14155618;1,16114958e-05;4378
2024-11-29 16:09:49;1;160000000;3,14174693;4,91061150e-05;4340
2024-11-29 16:09:54;1;160000000;3,14146168;4,16917800e-05;4341
2024-11-29 16:09:59;1;160000000;3,14139415;6,31856551e-05;4385
2024-11-29 16:10:04;1;160000000;3,14153413;1,86302288e-05;4382
2024-11-29 16:10:09;1;160000000;3,14177835;5,91090032e-05;4353
2024-11-29 16:10:14;1;160000000;3,14155178;1,30120593e-05;4565
2024-11-29 16:14:40;2;1600000;3,14056250;3,27908072e-04;143
2024-11-29 16:14:47;2;1600000;3,14220750;1,95711691e-04;51
2024-11-29 16:14:47;2;1600000;3,14126500;1,04295377e-04;38
2024-11-29 16:14:48;2;1600000;3,14142000;5,49573445e-05;40
2024-11-29 16:14:49;2;1600000;3,14303250;4,58317347e-04;54
2024-11-29 16:14:50;2;1600000;3,14030750;4,09077093e-04;54
2024-11-29 16:14:50;2;1600000;3,14381750;7,08190608e-04;60
2024-11-29 16:14:51;2;1600000;3,14039500;3,81224978e-04;50
2024-11-29 16:14:52;2;1600000;3,14133750;8,12179101e-05;45
2024-11-29 16:14:53;2;1600000;3,14007500;4,83084141e-04;43
2024-11-29 16:15:22;2;16000000;3,14153850;1,72376230e-05;239
2024-11-29 16:15:25;2;16000000;3,14157150;6,73339676e-06;226
2024-11-29 16:15:26;2;16000000;3,14266800;3,42293393e-04;231
2024-11-29 16:15:27;2;16000000;3,14137850;6,81672048e-05;241
2024-11-29 16:15:27;2;16000000;3,14149575;3,08453706e-05;245
2024-11-29 16:15:28;2;16000000;3,14200450;1,31094784e-04;236
2024-11-29 16:15:29;2;16000000;3,14176125;5,36659041e-05;234
2024-11-29 16:15:30;2;16000000;3,14275350;3,69508889e-04;240
2024-11-29 16:15:30;2;16000000;3,14141500;5,65488939e-05;231
2024-11-29 16:15:31;2;16000000;3,14103100;1,78779890e-04;233
2024-11-29 16:15:57;2;160000000;3,14161663;7,63033685e-06;2173
2024-11-29 16:16:01;2;160000000;3,14140930;5,83632603e-05;2209
2024-11-29 16:16:04;2;160000000;3,14158223;3,31952323e-06;2249
2024-11-29 16:16:06;2;160000000;3,14154378;1,55585384e-05;2243
2024-11-29 16:16:09;2;160000000;3,14152448;2,17019192e-05;2254
2024-11-29 16:16:12;2;160000000;3,14183303;7,65125962e-05;2272
2024-11-29 16:16:14;2;160000000;3,14175890;5,29178759e-05;2241
2024-11-29 16:16:17;2;160000000;3,14184575;8,05630895e-05;2240
2024-11-29 16:16:20;2;160000000;3,14156515;8,75466454e-06;2237
2024-11-29 16:16:22;2;160000000;3,14171123;3,77424521e-05;2242
2024-11-29 16:18:04;4;1600000;3,14063000;3,06422155e-04;43
2024-11-29 16:18:07;4;1600000;3,14519500;1,14666248e-03;18
2024-11-29 16:18:08;4;1600000;3,14336000;5,62563835e-04;24
2024-11-29 16:18:09;4;1600000;3,14070750;2,81753138e-04;22
2024-11-29 16:18:09;4;1600000;3,14274250;3,66007480e-04;21
2024-11-29 16:18:10;4;1600000;3,14257250;3,11894799e-04;18
2024-11-29 16:18:11;4;1600000;3,14251750;2,94387756e-04;19
2024-11-29 16:18:11;4;1600000;3,14291750;4,21711710e-04;20
