PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms);
3,141878;0,000285;0,000091;1600000;1;198;
3,140948;-0,000645;0,000205;1600000;1;199;
3,139333;-0,002260;0,000719;1600000;1;206;
3,140528;-0,001065;0,000339;1600000;1;188;
3,143635;0,002042;0,000650;1600000;1;189;
3,142710;0,001117;0,000356;1600000;2;91;
3,140595;-0,000998;0,000318;1600000;2;104;
3,140880;-0,000713;0,000227;1600000;2;105;
3,143060;0,001467;0,000467;1600000;2;103;
3,140620;-0,000973;0,000310;1600000;2;101;
3,140300;-0,001293;0,000411;1600000;4;64;
3,142690;0,001097;0,000349;1600000;4;62;
3,141160;-0,000433;0,000138;1600000;4;61;
3,140240;-0,001353;0,000431;1600000;4;71;
3,137140;-0,004453;0,001417;1600000;4;60;
3,141240;-0,000353;0,000112;1600000;8;44;
3,143840;0,002247;0,000715;1600000;8;55;
3,133600;-0,007993;0,002544;1600000;8;31;
3,138540;-0,003053;0,000972;1600000;8;42;
3,139400;-0,002193;0,000698;1600000;8;43;
3,139520;-0,002073;0,000660;1600000;16;24;
3,135440;-0,006153;0,001958;1600000;16;28;
3,132400;-0,009193;0,002926;1600000;16;29;
3,136760;-0,004833;0,001538;1600000;16;27;
3,141960;0,000367;0,000117;1600000;16;29;
3,132000;-0,009593;0,003053;1600000;32;22;
3,148560;0,006967;0,002218;1600000;32;37;
3,138240;-0,003353;0,001067;1600000;32;21;
3,133760;-0,007833;0,002493;1600000;32;24;
3,130560;-0,011033;0,003512;1600000;32;22;
3,142132;0,000540;0,000172;16000000;1;1752;
3,141340;-0,000252;0,000080;16000000;1;1678;
3,141326;-0,000267;0,000085;16000000;1;1760;
3,141672;0,000079;0,000025;16000000;1;1649;
3,141667;0,000074;0,000024;16000000;1;1700;
3,141798;0,000205;0,000065;16000000;2;853;
3,141691;0,000098;0,000031;16000000;2;853;
3,141689;0,000096;0,000031;16000000;2;873;
3,141026;-0,000567;0,000181;16000000;2;857;
3,141679;0,000086;0,000027;16000000;2;887;
3,142244;0,000651;0,000207;16000000;4;446;
3,142065;0,000472;0,000150;16000000;4;458;
3,141355;-0,000238;0,000076;16000000;4;459;
3,141651;0,000058;0,000019;16000000;4;870;
3,140326;-0,001267;0,000403;16000000;4;458;
3,141736;0,000143;0,000046;16000000;8;249;
3,141950;0,000357;0,000114;16000000;8;455;
3,139932;-0,001661;0,000529;16000000;8;350;
3,140912;-0,000681;0,000217;16000000;8;256;
3,142968;0,001375;0,000438;16000000;8;409;
3,142340;0,000747;0,000238;16000000;16;217;
3,143352;0,001759;0,000560;16000000;16;240;
3,138928;-0,002665;0,000848;16000000;16;126;
3,141132;-0,000461;0,000147;16000000;16;129;
3,143216;0,001623;0,000517;16000000;16;126;
3,140784;-0,000809;0,000257;16000000;32;72;
3,140248;-0,001345;0,000428;16000000;32;151;
3,139848;-0,001745;0,000555;16000000;32;115;
3,140704;-0,000889;0,000283;16000000;32;76;
3,141728;0,000135;0,000043;16000000;32;121;
3,141546;-0,000047;0,000015;160000000;1;19609;
3,141606;0,000013;0,000004;160000000;1;18615;
3,141686;0,000093;0,000030;160000000;1;18698;
3,141729;0,000136;0,000043;160000000;1;19558;
3,141844;0,000251;0,000080;160000000;1;19217;
3,141457;-0,000136;0,000043;160000000;2;7639;
3,141508;-0,000084;0,000027;160000000;2;8571;
3,141316;-0,000277;0,000088;160000000;2;8406;
3,141438;-0,000155;0,000049;160000000;2;7767;
3,141409;-0,000184;0,000059;160000000;2;10844;
3,141367;-0,000226;0,000072;160000000;4;3672;
3,141568;-0,000025;0,000008;160000000;4;3954;
3,141690;0,000097;0,000031;160000000;4;4151;
3,141582;-0,000011;0,000003;160000000;4;4170;
3,141493;-0,000100;0,000032;160000000;4;4178;
3,142356;0,000763;0,000243;160000000;8;2053;
3,141421;-0,000172;0,000055;160000000;8;2017;
3,141144;-0,000449;0,000143;160000000;8;2210;
3,142019;0,000427;0,000136;160000000;8;2603;
3,141116;-0,000477;0,000152;160000000;8;2840;
3,141154;-0,000439;0,000140;160000000;16;1398;
3,141786;0,000194;0,000062;160000000;16;1128;
3,141031;-0,000561;0,000179;160000000;16;1107;
3,142836;0,001243;0,000396;160000000;16;1073;
3,141829;0,000237;0,000075;160000000;16;1366;
3,141427;-0,000165;0,000053;160000000;32;812;
3,142195;0,000603;0,000192;160000000;32;1106;
3,139814;-0,001778;0,000566;160000000;32;733;
3,141389;-0,000204;0,000065;160000000;32;1094;
3,142901;0,001308;0,000416;160000000;32;704;
