PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms)
3,141780;0,000187;0,000060;1600000;1;144;
3,140928;-0,000665;0,000212;1600000;1;149;
3,141135;-0,000458;0,000146;1600000;1;143;
3,141138;-0,000455;0,000145;1600000;1;141;
3,142500;0,000907;0,000289;1600000;1;149;
3,140265;-0,001328;0,000423;1600000;1;138;
3,142148;0,000555;0,000177;1600000;1;146;
3,140280;-0,001313;0,000418;1600000;1;138;
3,140478;-0,001115;0,000355;1600000;1;156;
3,141563;-0,000030;0,000010;1600000;1;135;
3,141650;0,000057;0,000018;1600000;2;69;
3,145195;0,003602;0,001147;1600000;2;70;
3,141340;-0,000253;0,000080;1600000;2;87;
3,143315;0,001722;0,000548;1600000;2;74;
3,141465;-0,000128;0,000041;1600000;2;85;
3,138765;-0,002828;0,000900;1600000;2;75;
3,141575;-0,000018;0,000006;1600000;2;71;
3,138020;-0,003573;0,001137;1600000;2;70;
3,144920;0,003327;0,001059;1600000;2;82;
3,141960;0,000367;0,000117;1600000;2;72;
3,137880;-0,003713;0,001182;1600000;4;47;
3,143250;0,001657;0,000528;1600000;4;42;
3,137110;-0,004483;0,001427;1600000;4;38;
3,144290;0,002697;0,000859;1600000;4;41;
3,140170;-0,001423;0,000453;1600000;4;39;
3,145820;0,004227;0,001346;1600000;4;39;
3,138660;-0,002933;0,000933;1600000;4;39;
3,139390;-0,002203;0,000701;1600000;4;46;
3,144090;0,002497;0,000795;1600000;4;46;
3,144720;0,003127;0,000995;1600000;4;41;
3,145140;0,003547;0,001129;1600000;8;27;
3,144820;0,003227;0,001027;1600000;8;25;
3,138400;-0,003193;0,001016;1600000;8;26;
3,134340;-0,007253;0,002309;1600000;8;29;
3,139040;-0,002553;0,000813;1600000;8;29;
3,140120;-0,001473;0,000469;1600000;8;40;
3,137240;-0,004353;0,001385;1600000;8;27;
3,146740;0,005147;0,001638;1600000;8;27;
3,140360;-0,001233;0,000392;1600000;8;27;
3,143520;0,001927;0,000613;1600000;8;27;
3,149840;0,008247;0,002625;1600000;16;21;
3,135520;-0,006073;0,001933;1600000;16;21;
3,136760;-0,004833;0,001538;1600000;16;25;
3,148320;0,006727;0,002141;1600000;16;19;
3,143000;0,001407;0,000448;1600000;16;18;
3,136480;-0,005113;0,001627;1600000;16;22;
3,147880;0,006287;0,002001;1600000;16;22;
3,149240;0,007647;0,002434;1600000;16;22;
3,138560;-0,003033;0,000965;1600000;16;19;
3,157480;0,015887;0,005057;1600000;16;19;
3,134400;-0,007193;0,002289;1600000;32;15;
