Total Points;Workers;Estimated Pi;Error;Relative Error;Execution Time (ms);
3,142173;0,000580;0,000185;1600000;1;47;
3,140343;-0,001250;0,000398;1600000;1;47;
3,141560;-0,000033;0,000010;1600000;1;48;
3,143330;0,001737;0,000553;1600000;1;50;
3,140735;-0,000858;0,000273;1600000;1;48;
3,141115;-0,000478;0,000152;1600000;1;48;
3,142053;0,000460;0,000146;1600000;1;48;
3,142433;0,000840;0,000267;1600000;1;51;
3,139958;-0,001635;0,000520;1600000;1;48;
3,143315;0,001722;0,000548;1600000;1;46;
3,142658;0,001065;0,000339;1600000;2;37;
3,141950;0,000357;0,000114;1600000;2;34;
3,141925;0,000332;0,000106;1600000;2;33;
3,141830;0,000237;0,000076;1600000;2;33;
3,142250;0,000657;0,000209;1600000;2;33;
3,140160;-0,001433;0,000456;1600000;2;34;
3,140068;-0,001525;0,000485;1600000;2;34;
3,143688;0,002095;0,000667;1600000;2;36;
3,141645;0,000052;0,000017;1600000;2;33;
3,140628;-0,000965;0,000307;1600000;2;33;
3,140923;-0,000670;0,000213;1600000;4;28;
3,142265;0,000672;0,000214;1600000;4;27;
3,138955;-0,002638;0,000840;1600000;4;28;
3,141808;0,000215;0,000068;1600000;4;27;
3,143073;0,001480;0,000471;1600000;4;27;
3,142170;0,000577;0,000184;1600000;4;28;
3,140450;-0,001143;0,000364;1600000;4;28;
3,140805;-0,000788;0,000251;1600000;4;28;
3,140810;-0,000783;0,000249;1600000;4;29;
3,143578;0,001985;0,000632;1600000;4;31;
3,144275;0,002682;0,000854;1600000;8;39;
3,142045;0,000452;0,000144;1600000;8;44;
3,139875;-0,001718;0,000547;1600000;8;42;
3,142825;0,001232;0,000392;1600000;8;24;
3,143173;0,001580;0,000503;1600000;8;41;
3,142870;0,001277;0,000407;1600000;8;28;
3,143263;0,001670;0,000532;1600000;8;44;
3,141303;-0,000290;0,000092;1600000;8;42;
3,142318;0,000725;0,000231;1600000;8;41;
3,140670;-0,000923;0,000294;1600000;8;40;
3,143215;0,001622;0,000516;1600000;16;55;
3,142475;0,000882;0,000281;1600000;16;58;
3,142315;0,000722;0,000230;1600000;16;57;
3,141473;-0,000120;0,000038;1600000;16;54;
3,140140;-0,001453;0,000462;1600000;16;53;
3,139850;-0,001743;0,000555;1600000;16;50;
3,142943;0,001350;0,000430;1600000;16;56;
3,142473;0,000880;0,000280;1600000;16;63;
3,143803;0,002210;0,000703;1600000;16;56;
3,141093;-0,000500;0,000159;1600000;16;54;
3,138695;-0,002898;0,000922;1600000;20;71;
3,140675;-0,000918;0,000292;1600000;20;63;
3,139507;-0,002085;0,000664;1600000;20;56;
3,139163;-0,002430;0,000774;1600000;20;66;
3,143078;0,001485;0,000473;1600000;20;62;
3,142068;0,000475;0,000151;1600000;20;56;
3,143290;0,001697;0,000540;1600000;20;96;
3,141815;0,000222;0,000071;1600000;20;74;
3,140250;-0,001343;0,000427;1600000;20;73;
3,139938;-0,001655;0,000527;1600000;20;63;
3,142299;0,000707;0,000225;1600008;24;73;
3,140349;-0,001243;0,000396;1600008;24;73;
3,139527;-0,002066;0,000658;1600008;24;76;
3,141764;0,000172;0,000055;1600008;24;74;
3,140577;-0,001016;0,000323;1600008;24;70;
3,142684;0,001092;0,000347;1600008;24;81;
3,142549;0,000957;0,000305;1600008;24;66;
3,142492;0,000899;0,000286;1600008;24;68;
3,138997;-0,002596;0,000826;1600008;24;63;
3,142342;0,000749;0,000238;1600008;24;64;
3,141755;0,000162;0,000052;1600000;32;83;
3,141615;0,000022;0,000007;1600000;32;100;
3,139553;-0,002040;0,000649;1600000;32;76;
3,142813;0,001220;0,000388;1600000;32;71;
3,142193;0,000600;0,000191;1600000;32;81;
3,139935;-0,001658;0,000528;1600000;32;91;
3,143725;0,002132;0,000679;1600000;32;83;
3,138665;-0,002928;0,000932;1600000;32;88;
3,143670;0,002077;0,000661;1600000;32;78;
3,141903;0,000310;0,000099;1600000;32;76;
3,141853;0,000261;0,000083;16000000;1;443;
3,141250;-0,000343;0,000109;16000000;1;449;
3,141337;-0,000256;0,000082;16000000;1;434;
3,142084;0,000491;0,000156;16000000;1;439;
3,140868;-0,000725;0,000231;16000000;1;430;
3,141496;-0,000097;0,000031;16000000;1;434;
3,140481;-0,001112;0,000354;16000000;1;441;
3,141873;0,000280;0,000089;16000000;1;428;
3,141719;0,000126;0,000040;16000000;1;430;
3,141057;-0,000536;0,000171;16000000;1;442;
3,142099;0,000506;0,000161;16000000;2;228;
3,142104;0,000511;0,000163;16000000;2;225;
3,141694;0,000102;0,000032;16000000;2;224;
3,141928;0,000336;0,000107;16000000;2;230;
3,141298;-0,000294;0,000094;16000000;2;232;
3,141044;-0,000549;0,000175;16000000;2;223;
3,141636;0,000043;0,000014;16000000;2;224;
3,141418;-0,000175;0,000056;16000000;2;236;
3,141985;0,000392;0,000125;16000000;2;226;
3,142322;0,000729;0,000232;16000000;2;222;
3,141699;0,000106;0,000034;16000000;4;130;
3,141867;0,000274;0,000087;16000000;4;136;
3,141076;-0,000517;0,000164;16000000;4;128;
3,141514;-0,000079;0,000025;16000000;4;129;
3,141376;-0,000217;0,000069;16000000;4;131;
3,141599;0,000006;0,000002;16000000;4;128;
3,141221;-0,000371;0,000118;16000000;4;141;
3,141860;0,000267;0,000085;16000000;4;128;
3,141444;-0,000149;0,000047;16000000;4;129;
3,142070;0,000478;0,000152;16000000;4;132;
3,141382;-0,000210;0,000067;16000000;8;77;
3,141182;-0,000410;0,000131;16000000;8;79;
3,141696;0,000104;0,000033;16000000;8;81;
3,140963;-0,000630;0,000200;16000000;8;80;
3,141527;-0,000066;0,000021;16000000;8;79;
3,140706;-0,000887;0,000282;16000000;8;83;
3,142616;0,001023;0,000326;16000000;8;82;
3,140953;-0,000639;0,000204;16000000;8;84;
3,142537;0,000944;0,000300;16000000;8;78;
3,140956;-0,000636;0,000203;16000000;8;78;
3,141451;-0,000141;0,000045;16000000;16;65;
3,141996;0,000403;0,000128;16000000;16;75;
3,142268;0,000675;0,000215;16000000;16;69;
3,141637;0,000044;0,000014;16000000;16;75;
3,141384;-0,000209;0,000066;16000000;16;70;
3,141812;0,000219;0,000070;16000000;16;60;
3,141515;-0,000078;0,000025;16000000;16;74;
3,141881;0,000288;0,000092;16000000;16;69;
3,141930;0,000337;0,000107;16000000;16;66;
3,141183;-0,000409;0,000130;16000000;16;72;
3,141401;-0,000191;0,000061;16000000;20;72;
3,142182;0,000589;0,000188;16000000;20;79;
3,141741;0,000149;0,000047;16000000;20;63;
3,140944;-0,000648;0,000206;16000000;20;76;
3,141133;-0,000460;0,000146;16000000;20;106;
3,140854;-0,000738;0,000235;16000000;20;81;
3,141279;-0,000314;0,000100;16000000;20;68;
3,141603;0,000011;0,000003;16000000;20;70;
3,142035;0,000442;0,000141;16000000;20;67;
3,141966;0,000373;0,000119;16000000;20;76;
3,141500;-0,000092;0,000029;16000008;24;62;
3,142324;0,000732;0,000233;16000008;24;85;
3,142011;0,000418;0,000133;16000008;24;67;
3,141935;0,000342;0,000109;16000008;24;83;
3,141460;-0,000132;0,000042;16000008;24;92;
3,141326;-0,000267;0,000085;16000008;24;87;
3,141594;0,000002;0,000001;16000008;24;86;
3,141438;-0,000154;0,000049;16000008;24;87;
3,141935;0,000342;0,000109;16000008;24;84;
3,141118;-0,000474;0,000151;16000008;24;98;
3,140650;-0,000943;0,000300;16000000;32;83;
3,141467;-0,000126;0,000040;16000000;32;95;
3,140755;-0,000838;0,000267;16000000;32;116;
3,142548;0,000955;0,000304;16000000;32;92;
3,141711;0,000118;0,000038;16000000;32;88;
3,142057;0,000464;0,000148;16000000;32;86;
3,141884;0,000292;0,000093;16000000;32;102;
3,141844;0,000251;0,000080;16000000;32;77;
3,141444;-0,000149;0,000047;16000000;32;78;
3,141536;-0,000057;0,000018;16000000;32;92;
3,141441;-0,000151;0,000048;160000000;1;4290;
3,141510;-0,000082;0,000026;160000000;1;4252;
3,141404;-0,000189;0,000060;160000000;1;4256;
3,141770;0,000177;0,000056;160000000;1;4270;
3,141661;0,000069;0,000022;160000000;1;4267;
3,141614;0,000022;0,000007;160000000;1;4250;
3,141481;-0,000112;0,000036;160000000;1;4274;
3,141534;-0,000059;0,000019;160000000;1;4297;
3,141792;0,000200;0,000064;160000000;1;4245;
3,141568;-0,000025;0,000008;160000000;1;4272;
3,141684;0,000092;0,000029;160000000;2;2173;
3,141620;0,000027;0,000009;160000000;2;2197;
3,141684;0,000091;0,000029;160000000;2;2206;
3,141465;-0,000128;0,000041;160000000;2;2199;
3,141598;0,000005;0,000002;160000000;2;2194;
3,141650;0,000058;0,000018;160000000;2;2191;
3,141534;-0,000058;0,000019;160000000;2;2209;
3,141673;0,000081;0,000026;160000000;2;2176;
3,141618;0,000025;0,000008;160000000;2;2201;
3,141863;0,000270;0,000086;160000000;2;2189;
3,141586;-0,000007;0,000002;160000000;4;1157;
3,141617;0,000025;0,000008;160000000;4;1162;
3,141727;0,000134;0,000043;160000000;4;1148;
3,141457;-0,000135;0,000043;160000000;4;1153;
3,141582;-0,000011;0,000003;160000000;4;1146;
3,141484;-0,000109;0,000035;160000000;4;1157;
3,141637;0,000045;0,000014;160000000;4;1143;
3,141415;-0,000178;0,000057;160000000;4;1154;
3,141842;0,000250;0,000079;160000000;4;1144;
3,141704;0,000111;0,000035;160000000;4;1149;
3,141860;0,000267;0,000085;160000000;8;593;
3,141689;0,000096;0,000031;160000000;8;605;
3,141711;0,000118;0,000038;160000000;8;598;
3,141707;0,000114;0,000036;160000000;8;601;
3,141600;0,000007;0,000002;160000000;8;594;
3,141423;-0,000170;0,000054;160000000;8;613;
3,141556;-0,000037;0,000012;160000000;8;594;
3,141715;0,000122;0,000039;160000000;8;595;
3,141486;-0,000107;0,000034;160000000;8;592;
3,141477;-0,000115;0,000037;160000000;8;617;
3,141560;-0,000033;0,000010;160000000;16;354;
3,141412;-0,000181;0,000057;160000000;16;355;
3,141522;-0,000070;0,000022;160000000;16;349;
3,141284;-0,000309;0,000098;160000000;16;352;
3,141453;-0,000139;0,000044;160000000;16;339;
3,141497;-0,000095;0,000030;160000000;16;345;
3,141693;0,000100;0,000032;160000000;16;347;
3,141580;-0,000013;0,000004;160000000;16;348;
3,141728;0,000135;0,000043;160000000;16;336;
3,141554;-0,000038;0,000012;160000000;16;337;
3,141567;-0,000026;0,000008;160000000;20;296;
3,141639;0,000046;0,000015;160000000;20;312;
3,141786;0,000193;0,000061;160000000;20;313;
3,141676;0,000084;0,000027;160000000;20;314;
3,141484;-0,000109;0,000035;160000000;20;331;
3,141506;-0,000086;0,000027;160000000;20;307;
3,141405;-0,000188;0,000060;160000000;20;311;
3,141553;-0,000040;0,000013;160000000;20;317;
3,141601;0,000008;0,000003;160000000;20;318;
3,141595;0,000002;0,000001;160000000;20;296;
3,141639;0,000047;0,000015;160000008;24;272;
3,141455;-0,000138;0,000044;160000008;24;285;
3,141552;-0,000040;0,000013;160000008;24;304;
3,141456;-0,000137;0,000044;160000008;24;275;
3,141389;-0,000204;0,000065;160000008;24;274;
3,141723;0,000130;0,000041;160000008;24;317;
3,141616;0,000023;0,000007;160000008;24;301;
3,141719;0,000126;0,000040;160000008;24;268;
3,141600;0,000007;0,000002;160000008;24;296;
3,141542;-0,000050;0,000016;160000008;24;285;
3,141478;-0,000114;0,000036;160000000;32;278;
3,141555;-0,000037;0,000012;160000000;32;257;
3,141317;-0,000275;0,000088;160000000;32;256;
3,141488;-0,000105;0,000033;160000000;32;276;
3,141577;-0,000016;0,000005;160000000;32;258;
3,141439;-0,000154;0,000049;160000000;32;256;
3,141651;0,000059;0,000019;160000000;32;265;
